City Name,Period,Sales volume,Reporting period,Average price All property types,Monthly Percentage change for all property types,House price index for all property types,Average price for Detached houses ,Monthly Percentage change for Detached houses,House price index for Detached houses,Average price for Semi-detached houses,Monthly Percentage change for Semi-detached houses,House price index Semi-detached houses,Average price for Terraced houses,Monthly Percentage change for Terraced houses ,House price index Terraced houses,Average price for Flats and maisonettes,Monthly Percentage change for Flats and maisonettes,House price index Flats and maisonettes,Average price New build,Monthly Percentage change for New build ,House price index New build,Sales volume New build,Average price Old Build,Monthly Percentage change for Old Build ,House price index Old Build,Sales volume Old Build,Date,Mortgage Rates 
Leeds,1995-01,685,monthly,45679,0.8,20,86826,-1,20.5,47832,1.2,19.3,35941,0.9,19.1,34570,-0.2,23.3,65664,1.1,20.1,85,44948,1.8,19.9,600,01/01/1995,6.625
Leeds,1995-02,641,monthly,45865,0.4,20,86406,-0.5,20.4,48234,0.8,19.5,36068,0.4,19.2,34744,0.5,23.4,66254,0.9,20.3,73,45099,0.3,19.9,568,01/02/1995,6.625
Leeds,1995-03,922,monthly,46542,1.5,20.3,87464,1.2,20.7,48907,1.4,19.8,36682,1.7,19.5,35171,1.2,23.7,67343,1.6,20.6,114,45754,1.5,20.2,808,01/03/1995,6.625
Leeds,1995-04,759,monthly,47240,1.5,20.6,88427,1.1,20.9,49670,1.6,20.1,37263,1.6,19.8,35758,1.7,24.1,68300,1.4,20.9,88,46445,1.5,20.5,671,01/04/1995,6.625
Leeds,1995-05,899,monthly,47339,0.2,20.7,88511,0.1,20.9,49724,0.1,20.1,37405,0.4,19.9,35784,0.1,24.1,68239,-0.1,20.9,135,46563,0.3,20.6,764,01/05/1995,6.625
Leeds,1995-06,992,monthly,47177,-0.3,20.6,88207,-0.3,20.8,49621,-0.2,20.1,37193,-0.6,19.8,35857,0.2,24.2,67923,-0.5,20.8,162,46411,-0.3,20.5,830,01/06/1995,6.625
Leeds,1995-07,853,monthly,47151,-0.1,20.6,88423,0.2,20.9,49617,0,20.1,37136,-0.2,19.7,35673,-0.5,24.1,67883,-0.1,20.8,82,46385,-0.1,20.5,771,01/07/1995,6.625
Leeds,1995-08,920,monthly,47179,0.1,20.6,89059,0.7,21,49625,0,20.1,37096,-0.1,19.7,35539,-0.4,24,67945,0.1,20.8,103,46411,0.1,20.5,817,01/08/1995,6.625
Leeds,1995-09,889,monthly,46611,-1.2,20.4,88192,-1,20.8,48992,-1.3,19.8,36679,-1.1,19.5,34882,-1.8,23.5,66744,-1.8,20.4,105,45890,-1.1,20.3,784,01/09/1995,6.625
Leeds,1995-10,823,monthly,45801,-1.7,20,86807,-1.6,20.5,48242,-1.5,19.5,35920,-2.1,19.1,34395,-1.4,23.2,65982,-1.1,20.2,96,45054,-1.8,19.9,727,01/10/1995,6.625
Leeds,1995-11,886,monthly,45303,-1.1,19.8,85842,-1.1,20.3,47806,-0.9,19.3,35423,-1.4,18.8,34281,-0.3,23.1,65559,-0.6,20,125,44535,-1.2,19.7,761,01/11/1995,6.625
Leeds,1995-12,875,monthly,45093,-0.5,19.7,85428,-0.5,20.2,47665,-0.3,19.3,35187,-0.7,18.7,34213,-0.2,23.1,65980,0.6,20.2,129,44257,-0.6,19.6,746,01/12/1995,6.375
Leeds,1996-01,640,monthly,44726,-0.8,19.5,84957,-0.6,20.1,47262,-0.8,19.1,34899,-0.8,18.5,33787,-1.2,22.8,65922,-0.1,20.2,55,43851,-0.9,19.4,585,01/01/1996,6.125
Leeds,1996-02,714,monthly,44789,0.1,19.6,85010,0.1,20.1,47349,0.2,19.1,34981,0.2,18.6,33637,-0.4,22.7,66526,0.9,20.3,102,43863,0,19.4,612,01/02/1996,6.125
Leeds,1996-03,838,monthly,44632,-0.4,19.5,84967,0,20.1,47287,-0.1,19.1,34740,-0.7,18.5,33489,-0.4,22.6,66764,0.4,20.4,89,43666,-0.5,19.3,749,01/03/1996,5.9375
Leeds,1996-04,826,monthly,45044,0.9,19.7,85419,0.5,20.2,47685,0.8,19.3,35121,1.1,18.7,33960,1.4,22.9,67245,0.7,20.6,79,44080,0.9,19.5,747,01/04/1996,5.9375
Leeds,1996-05,1060,monthly,45240,0.4,19.8,85560,0.2,20.2,47830,0.3,19.3,35362,0.7,18.8,34124,0.5,23,66972,-0.4,20.5,123,44319,0.5,19.6,937,01/05/1996,5.9375
Leeds,1996-06,977,monthly,45849,1.3,20,86509,1.1,20.4,48352,1.1,19.5,35938,1.6,19.1,34744,1.8,23.4,67577,0.9,20.7,121,44939,1.4,19.9,856,01/06/1996,5.6875
Leeds,1996-07,1062,monthly,46515,1.5,20.3,88024,1.8,20.8,49074,1.5,19.8,36434,1.4,19.4,35059,0.9,23.7,68300,1.1,20.9,101,45613,1.5,20.2,961,01/07/1996,5.6875
Leeds,1996-08,1156,monthly,47685,2.5,20.8,90858,3.2,21.5,50308,2.5,20.3,37252,2.2,19.8,35850,2.3,24.2,70137,2.7,21.4,111,46751,2.5,20.7,1045,01/08/1996,5.6875
Leeds,1996-09,989,monthly,47721,0.1,20.8,91381,0.6,21.6,50298,0,20.3,37287,0.1,19.8,35579,-0.8,24,69810,-0.5,21.3,94,46818,0.1,20.7,895,01/09/1996,5.6875
Leeds,1996-10,1094,monthly,47656,-0.1,20.8,91406,0,21.6,50274,0,20.3,37190,-0.3,19.8,35452,-0.4,23.9,69717,-0.1,21.3,112,46753,-0.1,20.7,982,01/10/1996,5.9375
Leeds,1996-11,1192,monthly,47024,-1.3,20.5,89935,-1.6,21.2,49640,-1.3,20.1,36702,-1.3,19.5,35069,-1.1,23.7,68778,-1.3,21,143,46134,-1.3,20.4,1049,01/11/1996,5.9375
Leeds,1996-12,1141,monthly,47192,0.4,20.6,89936,0,21.2,49928,0.6,20.2,36808,0.3,19.6,35204,0.4,23.8,69005,0.3,21.1,182,46301,0.4,20.5,959,01/12/1996,5.9375
Leeds,1997-01,851,monthly,47154,-0.1,20.6,89821,-0.1,21.2,49861,-0.1,20.2,36810,0,19.6,35151,-0.1,23.7,68615,-0.6,21,72,46291,0,20.5,779,01/01/1997,5.9375
Leeds,1997-02,846,monthly,46577,-1.2,20.3,89048,-0.9,21,49251,-1.2,19.9,36305,-1.4,19.3,34688,-1.3,23.4,67931,-1,20.8,105,45714,-1.2,20.2,741,01/02/1997,5.9375
Leeds,1997-03,903,monthly,46419,-0.3,20.3,88953,-0.1,21,48999,-0.5,19.8,36203,-0.3,19.2,34609,-0.2,23.4,67997,0.1,20.8,104,45537,-0.4,20.1,799,01/03/1997,5.9375
Leeds,1997-04,895,monthly,46845,0.9,20.5,89538,0.7,21.2,49477,1,20,36565,1,19.4,34898,0.8,23.6,68921,1.4,21.1,106,45930,0.9,20.3,789,01/04/1997,5.9375
Leeds,1997-05,1168,monthly,47951,2.4,20.9,91389,2.1,21.6,50696,2.5,20.5,37488,2.5,19.9,35484,1.7,23.9,70183,1.8,21.5,135,47043,2.4,20.8,1033,01/05/1997,6.25
Leeds,1997-06,1363,monthly,48759,1.7,21.3,93082,1.9,22,51593,1.8,20.9,38105,1.6,20.3,35840,1,24.2,70883,1,21.7,181,47874,1.8,21.2,1182,01/06/1997,6.5
Leeds,1997-07,1438,monthly,49006,0.5,21.4,93827,0.8,22.2,51815,0.4,20.9,38321,0.6,20.4,35787,-0.1,24.2,70654,-0.3,21.6,108,48163,0.6,21.3,1330,01/07/1997,6.75
Leeds,1997-08,1282,monthly,49001,0,21.4,94214,0.4,22.3,51791,0,20.9,38265,-0.1,20.3,35720,-0.2,24.1,70357,-0.4,21.5,123,48182,0,21.3,1159,01/08/1997,7
Leeds,1997-09,1230,monthly,48810,-0.4,21.3,94013,-0.2,22.2,51601,-0.4,20.9,38081,-0.5,20.2,35541,-0.5,24,70026,-0.5,21.4,106,47998,-0.4,21.2,1124,01/09/1997,7
Leeds,1997-10,1209,monthly,48089,-1.5,21,92766,-1.3,21.9,50905,-1.3,20.6,37419,-1.7,19.9,35109,-1.2,23.7,69114,-1.3,21.1,95,47279,-1.5,20.9,1114,01/10/1997,7
Leeds,1997-11,1009,monthly,48151,0.1,21,93003,0.3,22,51010,0.2,20.6,37414,0,19.9,35154,0.1,23.7,69381,0.4,21.2,105,47326,0.1,20.9,904,01/11/1997,7.25
Leeds,1997-12,1157,monthly,48302,0.3,21.1,93215,0.2,22,51272,0.5,20.7,37459,0.1,19.9,35303,0.4,23.8,69912,0.8,21.4,177,47449,0.3,21,980,01/12/1997,7.25
Leeds,1998-01,716,monthly,49020,1.5,21.4,94967,1.9,22.4,51962,1.3,21,38006,1.5,20.2,35796,1.4,24.2,71528,2.3,21.9,53,48109,1.4,21.3,663,01/01/1998,7.25
