region,month_id,sales_volume,property_type,avg_price,price_change,annual_change,detached_price,detached_change,detached_annual,semi_price,semi_change,semi_annual,terraced_price,terraced_change,terraced_annual,flat_price,flat_change,flat_annual,cash_price,cash_change,cash_annual,cash_sales,mortgage_price,mortgage_change,mortgage_annual,mortgage_sales,date,interest_rate,property_age,avg_price_log,cash_sales_log
Leeds,1995-02,641,monthly,45865,0.4,20.0,86406,-0.5,20.4,48234,0.8,19.5,36068,0.4,19.2,34744,0.5,23.4,66254,0.9,20.3,73,45099,0.3,19.9,568,1995-01-02,6.625,new,10.733479380823917,4.30406509320417
Leeds,1995-03,922,monthly,46542,1.5,20.3,87464,1.2,20.7,48907,1.4,19.8,36682,1.7,19.5,35171,1.2,23.7,67343,1.6,20.6,114,45754,1.5,20.2,808,1995-01-03,6.625,old,10.748131895457767,4.74493212836325
Leeds,1995-04,759,monthly,47240,1.5,20.6,88427,1.1,20.9,49670,1.6,20.1,37263,1.6,19.8,35758,1.7,24.1,68300,1.4,20.9,88,46445,1.5,20.5,671,1995-01-04,6.625,new,10.76301743858852,4.48863636973214
Leeds,1995-05,899,monthly,47339,0.2,20.7,88511,0.1,20.9,49724,0.1,20.1,37405,0.4,19.9,35784,0.1,24.1,68239,-0.1,20.9,135,46563,0.3,20.6,764,1995-01-05,6.625,new,10.765110883067974,4.912654885736052
Leeds,1995-06,992,monthly,47177,-0.3,20.6,88207,-0.3,20.8,49621,-0.2,20.1,37193,-0.6,19.8,35857,0.2,24.2,67923,-0.5,20.8,162,46411,-0.3,20.5,830,1995-01-06,6.625,new,10.761682961219572,5.093750200806762
Leeds,1995-07,853,monthly,47151,-0.1,20.6,88423,0.2,20.9,49617,0.0,20.1,37136,-0.2,19.7,35673,-0.5,24.1,67883,-0.1,20.8,82,46385,-0.1,20.5,771,1995-01-07,6.625,old,10.761131704977476,4.418840607796598
Leeds,1995-08,920,monthly,47179,0.1,20.6,89059,0.7,21.0,49625,0.0,20.1,37096,-0.1,19.7,35539,-0.4,24.0,67945,0.1,20.8,103,46411,0.1,20.5,817,1995-01-08,6.625,new,10.761725352961665,4.6443908991413725
Leeds,1995-09,889,monthly,46611,-1.2,20.4,88192,-1.0,20.8,48992,-1.3,19.8,36679,-1.1,19.5,34882,-1.8,23.5,66744,-1.8,20.4,105,45890,-1.1,20.3,784,1995-01-09,6.625,new,10.749613297693154,4.663439094112067
Leeds,1995-10,823,monthly,45801,-1.7,20.0,86807,-1.6,20.5,48242,-1.5,19.5,35920,-2.1,19.1,34395,-1.4,23.2,65982,-1.1,20.2,96,45054,-1.8,19.9,727,1995-01-10,6.625,new,10.732083037271122,4.574710978503383
Leeds,1995-11,886,monthly,45303,-1.1,19.8,85842,-1.1,20.3,47806,-0.9,19.3,35423,-1.4,18.8,34281,-0.3,23.1,65559,-0.6,20.0,125,44535,-1.2,19.7,761,1995-01-11,6.625,old,10.721150607793641,4.836281906951478
Leeds,1995-12,875,monthly,45093,-0.5,19.7,85428,-0.5,20.2,47665,-0.3,19.3,35187,-0.7,18.7,34213,-0.2,23.1,65980,0.6,20.2,129,44257,-0.6,19.6,746,1995-01-12,6.375,new,10.716504478946458,4.867534450455582
Leeds,1996-01,640,monthly,44726,-0.8,19.5,84957,-0.6,20.1,47262,-0.8,19.1,34899,-0.8,18.5,33787,-1.2,22.8,65922,-0.1,20.2,55,43851,-0.9,19.4,585,1996-01-01,6.125,new,10.708332625096508,4.02535169073515
Leeds,1996-02,714,monthly,44789,0.1,19.6,85010,0.1,20.1,47349,0.2,19.1,34981,0.2,18.6,33637,-0.4,22.7,66526,0.9,20.3,102,43863,0.0,19.4,612,1996-01-02,6.125,new,10.709740179201345,4.634728988229636
Leeds,1996-03,838,monthly,44632,-0.4,19.5,84967,0.0,20.1,47287,-0.1,19.1,34740,-0.7,18.5,33489,-0.4,22.6,66764,0.4,20.4,89,43666,-0.5,19.3,749,1996-01-03,5.9375,new,10.706228774723371,4.499809670330265
Leeds,1996-04,826,monthly,45044,0.9,19.7,85419,0.5,20.2,47685,0.8,19.3,35121,1.1,18.7,33960,1.4,22.9,67245,0.7,20.6,79,44080,0.9,19.5,747,1996-01-04,5.9375,old,10.71541726908554,4.382026634673881
Leeds,1996-05,1060,monthly,45240,0.4,19.8,85560,0.2,20.2,47830,0.3,19.3,35362,0.7,18.8,34124,0.5,23.0,66972,-0.4,20.5,123,44319,0.5,19.6,937,1996-01-05,5.9375,new,10.719759034318209,4.820281565605037
Leeds,1996-06,977,monthly,45849,1.3,20.0,86509,1.1,20.4,48352,1.1,19.5,35938,1.6,19.1,34744,1.8,23.4,67577,0.9,20.7,121,44939,1.4,19.9,856,1996-01-06,5.6875,old,10.733130477684611,4.804021044733257
Leeds,1996-07,1062,monthly,46515,1.5,20.3,88024,1.8,20.8,49074,1.5,19.8,36434,1.4,19.4,35059,0.9,23.7,68300,1.1,20.9,101,45613,1.5,20.2,961,1996-01-07,5.6875,old,10.747551618412935,4.624972813284271
Leeds,1996-08,1156,monthly,47685,2.5,20.8,90858,3.2,21.5,50308,2.5,20.3,37252,2.2,19.8,35850,2.3,24.2,70137,2.7,21.4,111,46751,2.5,20.7,1045,1996-01-08,5.6875,old,10.772393132748352,4.718498871295094
Leeds,1996-09,989,monthly,47721,0.1,20.8,91381,0.6,21.6,50298,0.0,20.3,37287,0.1,19.8,35579,-0.8,24.0,69810,-0.5,21.3,94,46818,0.1,20.7,895,1996-01-09,5.6875,new,10.773147786481971,4.553876891600541
Leeds,1996-10,1094,monthly,47656,-0.1,20.8,91406,0.0,21.6,50274,0.0,20.3,37190,-0.3,19.8,35452,-0.4,23.9,69717,-0.1,21.3,112,46753,-0.1,20.7,982,1996-01-10,5.9375,old,10.771784802805005,4.727387818712341
Leeds,1996-11,1192,monthly,47024,-1.3,20.5,89935,-1.6,21.2,49640,-1.3,20.1,36702,-1.3,19.5,35069,-1.1,23.7,68778,-1.3,21.0,143,46134,-1.3,20.4,1049,1996-01-11,5.9375,new,10.758434654169232,4.969813299576001
Leeds,1996-12,1141,monthly,47192,0.4,20.6,89936,0.0,21.2,49928,0.6,20.2,36808,0.3,19.6,35204,0.4,23.8,69005,0.3,21.1,182,46301,0.4,20.5,959,1996-01-12,5.9375,old,10.762000855490614,5.209486152841421
Leeds,1997-01,851,monthly,47154,-0.1,20.6,89821,-0.1,21.2,49861,-0.1,20.2,36810,0.0,19.6,35151,-0.1,23.7,68615,-0.6,21.0,72,46291,0.0,20.5,779,1997-01-01,5.9375,old,10.761195326977985,4.290459441148391
Leeds,1997-02,846,monthly,46577,-1.2,20.3,89048,-0.9,21.0,49251,-1.2,19.9,36305,-1.4,19.3,34688,-1.3,23.4,67931,-1.0,20.8,105,45714,-1.2,20.2,741,1997-01-02,5.9375,old,10.748883605633734,4.663439094112067
Leeds,1997-03,903,monthly,46419,-0.3,20.3,88953,-0.1,21.0,48999,-0.5,19.8,36203,-0.3,19.2,34609,-0.2,23.4,67997,0.1,20.8,104,45537,-0.4,20.1,799,1997-01-03,5.9375,old,10.745485679828429,4.653960350157523
Leeds,1997-04,895,monthly,46845,0.9,20.5,89538,0.7,21.2,49477,1.0,20.0,36565,1.0,19.4,34898,0.8,23.6,68921,1.4,21.1,106,45930,0.9,20.3,789,1997-01-04,5.9375,old,10.754620905152855,4.672828834461906
Leeds,1997-05,1168,monthly,47951,2.4,20.9,91389,2.1,21.6,50696,2.5,20.5,37488,2.5,19.9,35484,1.7,23.9,70183,1.8,21.5,135,47043,2.4,20.8,1033,1997-01-05,6.25,old,10.777955789556444,4.912654885736052
Leeds,1997-06,1363,monthly,48759,1.7,21.3,93082,1.9,22.0,51593,1.8,20.9,38105,1.6,20.3,35840,1.0,24.2,70883,1.0,21.7,181,47874,1.8,21.2,1182,1997-01-06,6.5,old,10.794665583595208,5.204006687076795
Leeds,1997-07,1438,monthly,49006,0.5,21.4,93827,0.8,22.2,51815,0.4,20.9,38321,0.6,20.4,35787,-0.1,24.2,70654,-0.3,21.6,108,48163,0.6,21.3,1330,1997-01-07,6.75,old,10.79971842403251,4.6913478822291435
Leeds,1997-08,1282,monthly,49001,0.0,21.4,94214,0.4,22.3,51791,0.0,20.9,38265,-0.1,20.3,35720,-0.2,24.1,70357,-0.4,21.5,123,48182,0.0,21.3,1159,1997-01-08,7.0,new,10.79961639258633,4.820281565605037
Leeds,1997-09,1230,monthly,48810,-0.4,21.3,94013,-0.2,22.2,51601,-0.4,20.9,38081,-0.5,20.2,35541,-0.5,24.0,70026,-0.5,21.4,106,47998,-0.4,21.2,1124,1997-01-09,7.0,new,10.795710976276323,4.672828834461906
Leeds,1997-10,1209,monthly,48089,-1.5,21.0,92766,-1.3,21.9,50905,-1.3,20.6,37419,-1.7,19.9,35109,-1.2,23.7,69114,-1.3,21.1,95,47279,-1.5,20.9,1114,1997-01-10,7.0,old,10.780829534271708,4.564348191467836
Leeds,1997-11,1009,monthly,48151,0.1,21.0,93003,0.3,22.0,51010,0.2,20.6,37414,0.0,19.9,35154,0.1,23.7,69381,0.4,21.2,105,47326,0.1,20.9,904,1997-01-11,7.25,old,10.782117953227607,4.663439094112067
Leeds,1997-12,1157,monthly,48302,0.3,21.1,93215,0.2,22.0,51272,0.5,20.7,37459,0.1,19.9,35303,0.4,23.8,69912,0.8,21.4,177,47449,0.3,21.0,980,1997-01-12,7.25,old,10.785248949513049,5.181783550292085
Leeds,1998-01,716,monthly,49020,1.5,21.4,94967,1.9,22.4,51962,1.3,21.0,38006,1.5,20.2,35796,1.4,24.2,71528,2.3,21.9,53,48109,1.4,21.3,663,1998-01-01,7.25,new,10.800004056710831,3.9889840465642745
Leeds,1998-02,771,monthly,48884,-0.3,21.4,94565,-0.4,22.3,51808,-0.3,20.9,37894,-0.3,20.1,35933,0.4,24.3,72005,0.7,22.0,67,47925,-0.4,21.2,704,1998-01-02,7.25,old,10.797225879939772,4.219507705176107
Leeds,1998-03,1032,monthly,49084,0.4,21.4,94939,0.4,22.4,51962,0.3,21.0,38109,0.6,20.3,36045,0.3,24.3,72511,0.7,22.2,99,48105,0.4,21.3,933,1998-01-03,7.25,new,10.801308768126622,4.605170185988092
Leeds,1998-04,1099,monthly,48714,-0.8,21.3,93798,-1.2,22.2,51677,-0.5,20.9,37827,-0.7,20.1,35774,-0.8,24.1,71784,-1.0,21.9,123,47754,-0.7,21.1,976,1998-01-04,7.25,new,10.793742269859441,4.820281565605037
Leeds,1998-05,1172,monthly,48772,0.1,21.3,93655,-0.2,22.1,51730,0.1,20.9,37967,0.4,20.2,35640,-0.4,24.1,71253,-0.7,21.8,111,47853,0.2,21.1,1061,1998-01-05,7.25,new,10.79493216003758,4.718498871295094
Leeds,1998-06,1253,monthly,48782,0.0,21.3,93684,0.0,22.1,51735,0.0,20.9,37938,-0.1,20.2,35845,0.6,24.2,71021,-0.3,21.7,166,47880,0.1,21.2,1087,1998-01-06,7.5,new,10.795137170493833,5.117993812416755
Leeds,1998-07,1489,monthly,50175,2.9,21.9,96485,3.0,22.8,53181,2.8,21.5,39030,2.9,20.7,36814,2.7,24.8,72911,2.7,22.3,112,49257,2.9,21.8,1377,1998-01-07,7.5,new,10.823292103710079,4.727387818712341
Leeds,1998-08,1239,monthly,51721,3.1,22.6,100020,3.7,23.6,54765,3.0,22.1,40173,2.9,21.4,37869,2.9,25.6,75379,3.4,23.0,97,50759,3.0,22.4,1142,1998-01-08,7.5,old,10.853638501898386,4.584967478670572
Leeds,1998-09,1101,monthly,52119,0.8,22.8,101080,1.1,23.9,55183,0.8,22.3,40472,0.7,21.5,37929,0.2,25.6,75706,0.4,23.1,71,51168,0.8,22.6,1030,1998-01-09,7.5,old,10.861304031238781,4.276666119016055
Leeds,1998-10,1137,monthly,51747,-0.7,22.6,100604,-0.5,23.8,54792,-0.7,22.2,40096,-0.9,21.3,37826,-0.3,25.5,75371,-0.4,23.0,84,50789,-0.7,22.4,1053,1998-01-10,7.25,old,10.854141063037792,4.442651256490317
Leeds,1998-11,1134,monthly,50240,-2.9,21.9,97766,-2.8,23.1,53292,-2.7,21.5,38794,-3.2,20.6,36918,-2.4,24.9,73457,-2.5,22.5,106,49289,-3.0,21.8,1028,1998-01-11,6.75,old,10.824586705402588,4.672828834461906
Leeds,1998-12,1151,monthly,50305,0.1,22.0,97629,-0.1,23.1,53431,0.3,21.6,38787,0.0,20.6,37257,0.9,25.1,74162,1.0,22.7,179,49311,0.0,21.8,972,1998-01-12,6.25,old,10.82587963326826,5.19295685089021
Leeds,1999-01,739,monthly,50269,-0.1,22.0,97590,0.0,23.1,53417,0.0,21.6,38735,-0.1,20.6,37229,-0.1,25.1,74568,0.5,22.8,58,49245,-0.1,21.8,681,1999-01-01,6.0,new,10.82516375668662,4.07753744390572
Leeds,1999-02,800,monthly,50687,0.8,22.1,98295,0.7,23.2,53855,0.8,21.8,39088,0.9,20.8,37513,0.8,25.3,75274,0.9,23.0,79,49649,0.8,21.9,721,1999-01-02,5.5,old,10.833444475174097,4.382026634673881
Leeds,1999-03,1145,monthly,50890,0.4,22.2,98854,0.6,23.4,54040,0.3,21.8,39226,0.4,20.8,37686,0.5,25.4,75614,0.5,23.1,116,49847,0.4,22.0,1029,1999-01-03,5.5,old,10.837441369615792,4.762173934797756
Leeds,1999-04,1223,monthly,51444,1.1,22.5,99443,0.6,23.5,54588,1.0,22.1,39777,1.4,21.1,38152,1.2,25.7,75850,0.3,23.2,128,50433,1.2,22.3,1095,1999-01-04,5.25,new,10.848268554809911,4.859812404361672
Leeds,1999-05,1329,monthly,52576,2.2,23.0,101258,1.8,23.9,55738,2.1,22.5,40753,2.5,21.7,39059,2.4,26.4,77350,2.0,23.7,144,51554,2.2,22.8,1185,1999-01-05,5.25,old,10.870034040741325,4.976733742420574
Leeds,1999-06,1501,monthly,53178,1.1,23.2,102385,1.1,24.2,56337,1.1,22.8,41273,1.3,21.9,39433,1.0,26.6,78078,0.9,23.9,201,52156,1.2,23.0,1300,1999-01-06,5.0,new,10.881418860558535,5.308267697401205
Leeds,1999-07,1657,monthly,53709,1.0,23.5,103913,1.5,24.6,56871,0.9,23.0,41619,0.8,22.1,39733,0.8,26.8,79002,1.2,24.2,123,52667,1.0,23.3,1534,1999-01-07,5.0,old,10.891354482899505,4.820281565605037
Leeds,1999-08,1431,monthly,54064,0.7,23.6,104988,1.0,24.8,57183,0.5,23.1,41883,0.6,22.3,39873,0.4,26.9,79229,0.3,24.2,96,53036,0.7,23.4,1335,1999-01-08,5.0,new,10.897942305379637,4.574710978503383
Leeds,1999-09,1390,monthly,54611,1.0,23.9,106452,1.4,25.1,57665,0.8,23.3,42292,1.0,22.5,40278,1.0,27.2,79777,0.7,24.4,148,53592,1.0,23.7,1242,1999-01-09,5.25,old,10.908008917804642,5.003946305945459
Leeds,1999-10,1514,monthly,54748,0.3,23.9,106766,0.3,25.2,57896,0.4,23.4,42264,-0.1,22.5,40641,0.9,27.4,79994,0.3,24.5,152,53724,0.2,23.7,1362,1999-01-10,5.25,old,10.91051438267176,5.030437921392435
