Date,Actual,Predicted
2021-01-01,202373.99999999994,196225.37635504102
2021-01-02,201773.99999999988,196583.2109490939
2021-01-03,202185.00000000003,196816.32403460259
2021-01-04,201017.99999999988,196013.72936865754
2021-01-05,201199.99999999997,196071.44172604775
2021-01-06,206221.99999999983,196203.52920366885
2021-01-07,205117.00000000015,195535.541327752
2021-01-08,205307.99999999985,196225.54643197145
2021-01-09,203653.00000000006,196586.14788706994
2021-01-10,205299.00000000015,195535.541327752
2021-01-11,206138.0,195016.05342063363
2021-01-12,205669.99999999997,195390.7248151153
2022-01-01,210485.99999999994,195313.9337362999
2022-01-02,214200.0,195160.0592022155
2022-01-03,215508.99999999983,194731.66216759683
2022-01-04,216434.00000000017,194804.2166750304
2022-01-05,217593.00000000015,195234.26449187548
2022-01-06,220531.0,195439.9554796802
2022-01-07,224602.99999999988,195553.99780774527
2022-01-08,227783.00000000015,195916.40318218886
2022-01-09,230033.00000000012,195030.83236280302
2022-01-10,231817.99999999997,195310.9277428146
2022-01-11,234138.9999999998,195645.84207145913
2022-01-12,233785.00000000015,195749.6754169895
2023-01-01,228908.99999999997,195157.00602456144
2023-01-02,225686.00000000003,195157.00602456144
2023-01-03,223390.99999999985,194311.52085982048
2023-01-04,223141.99999999983,194593.3352929991
2023-01-05,223353.99999999997,195227.75506270025
2023-01-06,223706.00000000012,195173.0382254252
2023-01-07,228167.99999999983,194992.04327514896
2023-01-08,230452.99999999985,194991.13429346087
2023-01-09,232964.00000000006,195055.75229160325
2023-01-10,230663.00000000015,195157.00602456144
2023-01-11,228604.99999999997,195157.00602456144
2023-01-12,228264.99999999997,195091.7812931633
2024-01-01,228897.99999999994,195139.23704525395
2024-01-02,228636.99999999997,195157.00602456144
2024-01-03,228226.00000000015,194634.89315686838
2024-01-04,225179.0000000001,195157.00602456144
2024-01-05,225241.99999999983,195318.55530791875
2024-01-06,226246.00000000006,195173.0382254252
2024-01-07,231100.99999999985,195092.92324270032
2024-01-08,234994.9999999998,194945.7825879613
2024-01-09,237182.99999999988,194494.14158160923
2024-01-10,238936.00000000003,194650.29295954425
2024-01-11,239397.00000000015,194494.14158160923
2024-01-12,240626.0000000002,194494.14158160923
2025-01-01,239868.99999999997,194487.58958743737
2025-01-02,242435.00000000015,194802.82447143178
2025-01-03,245511.99999999983,194882.3828075402
2025-01-04,246562.99999999997,194494.14158160923
